OBJECTID,Value,Count,area
1,11,2617.000000000000000,2.3553
2,12,54.000000000000000,0.0486
3,13,11.000000000000000,0.0099
4,21,454.000000000000000,0.4086
5,22,3314.000000000000000,2.9826
6,23,573.000000000000000,0.5157
7,31,6.000000000000000,0.0054
8,32,1425.000000000000000,1.2825
9,33,3893.000000000000000,3.5037
10,34,18.000000000000000,0.0162
11,42,36.000000000000000,0.0324
12,43,2031.000000000000000,1.8279
13,44,2702.000000000000000,2.4318
